"name","category","oscp_importance"
"Web application fundamentals","web_exploitation","medium"
"Linux fundamentals","general","medium"
"Command line proficiency","general","medium"
"Basic scripting knowledge","general","medium"
"SQL Injection (manual detection and automated exploitation)","web_exploitation","medium"
"File upload filter bypass techniques","web_exploitation","medium"
"Binary analysis with strings command","binary_analysis","medium"
"7zip symlink abuse via listfile exploitation","general","medium"
"Credential hunting in configuration files","general","medium"
"Password reuse identification","general","medium"
"Active Directory enumeration (CrackMapExec, ldapsearch)","enumeration","medium"
"BloodHound graph analysis and Cypher queries","binary_analysis","medium"
"Basic understanding of AD relationships (AdminTo, MemberOf, HasSession)","general","medium"
"Windows command-line navigation","general","medium"
"Tool installation and usage (Evil-WinRM, Mimikatz, impacket)","general","medium"
"BloodHound advanced queries for privilege escalation paths","privilege_escalation","medium"
"Service session credential harvesting methodology","general","medium"
"Evil-WinRM file upload and interactive PowerShell usage","web_exploitation","medium"
"Mimikatz privilege::debug and sekurlsa::logonpasswords syntax","privilege_escalation","medium"
"Pass-the-Hash authentication without plaintext passwords","general","medium"
"DCSync attack execution and domain credential extraction","general","medium"
"Lateral movement decision-making (WinRM vs PSExec vs WMI)","lateral_movement","medium"
"Time management for AD enumeration (BloodHound budget allocation)","enumeration","medium"
"Manual JSON parsing as BloodHound alternative (jq queries)","general","medium"
